date,close,high,low,open,volume
2019-09-20 15:30:00+00:00,218.83,219.01,218.78,218.8,149728.0
2019-09-20 15:45:00+00:00,217.73,218.02,217.6,217.97,864562.0
2019-09-23 09:30:00+00:00,219.21,219.21,218.88,218.9,110939.0
2019-09-23 09:45:00+00:00,218.56,218.86,218.53,218.71,75123.0
2019-09-23 10:00:00+00:00,217.85,217.87,217.67,217.83,103557.0
2019-09-23 10:15:00+00:00,218.18,218.21,218.03,218.06,35772.0
2019-09-23 10:30:00+00:00,218.31,218.39,218.29,218.3,40867.0
2019-09-23 10:45:00+00:00,218.12,218.11,217.88,217.99,46900.0
2019-09-23 11:00:00+00:00,218.29,218.31,218.26,218.28,30408.0
2019-09-23 11:15:00+00:00,218.94,219.03,218.88,219.01,63225.0
2019-09-23 11:30:00+00:00,218.94,218.95,218.86,218.89,26241.0
2019-09-23 11:45:00+00:00,218.72,218.8,218.55,218.6,51893.0
2019-09-23 12:00:00+00:00,219.13,219.17,219.12,219.15,11246.0
2019-09-23 12:15:00+00:00,219.0,219.14,218.98,219.14,24028.0
2019-09-23 12:30:00+00:00,218.91,218.95,218.9,218.91,10181.0
2019-09-23 12:45:00+00:00,218.77,218.8,218.54,218.8,68912.0
2019-09-23 13:00:00+00:00,218.77,218.79,218.74,218.74,11731.0
2019-09-23 13:15:00+00:00,219.18,219.2,219.14,219.15,35804.0
2019-09-23 13:30:00+00:00,219.23,219.26,219.17,219.2,55033.0
2019-09-23 13:45:00+00:00,219.24,219.29,219.22,219.29,15598.0
2019-09-23 14:00:00+00:00,219.51,219.53,219.37,219.4,73134.0
2019-09-23 14:15:00+00:00,219.47,219.49,219.43,219.46,33300.0
2019-09-23 14:30:00+00:00,219.63,219.65,219.57,219.61,19022.0
2019-09-23 14:45:00+00:00,219.4,219.52,219.37,219.51,16631.0
2019-09-23 15:00:00+00:00,219.78,219.78,219.69,219.71,27290.0
2019-09-23 15:15:00+00:00,219.6,219.61,219.55,219.58,17661.0
2019-09-23 15:30:00+00:00,219.5,219.73,219.51,219.68,109103.0
2019-09-23 15:45:00+00:00,218.68,218.84,218.59,218.78,500511.0
2019-09-24 09:30:00+00:00,221.78,221.9,221.61,221.82,137376.0
2019-09-24 09:45:00+00:00,221.87,222.03,221.7,221.74,98410.0
2019-09-24 10:00:00+00:00,221.4,221.52,221.38,221.43,65794.0
2019-09-24 10:15:00+00:00,220.67,220.74,220.6,220.64,49461.0
2019-09-24 10:30:00+00:00,220.81,220.85,220.63,220.83,45055.0
2019-09-24 10:45:00+00:00,220.68,220.72,220.61,220.61,17338.0
2019-09-24 11:00:00+00:00,220.61,220.67,220.57,220.63,29354.0
2019-09-24 11:15:00+00:00,220.31,220.42,220.23,220.26,28168.0
2019-09-24 11:30:00+00:00,218.86,219.17,218.75,219.18,203958.0
2019-09-24 11:45:00+00:00,219.13,219.32,219.12,219.3,25340.0
2019-09-24 12:00:00+00:00,219.58,219.71,219.58,219.62,23067.0
2019-09-24 12:15:00+00:00,218.16,218.18,217.89,217.96,111538.0
2019-09-24 12:30:00+00:00,218.05,218.12,217.86,218.0,79162.0
2019-09-24 12:45:00+00:00,217.5,217.73,217.49,217.7,37594.0
2019-09-24 13:00:00+00:00,217.75,217.79,217.68,217.71,25753.0
2019-09-24 13:15:00+00:00,217.23,217.52,217.21,217.5,51075.0
2019-09-24 13:30:00+00:00,217.93,217.99,217.77,217.81,18384.0
2019-09-24 13:45:00+00:00,217.72,217.77,217.67,217.72,19363.0
2019-09-24 14:00:00+00:00,218.85,219.06,218.52,218.86,143283.0
2019-09-24 14:15:00+00:00,219.42,219.42,219.29,219.41,17089.0
2019-09-24 14:30:00+00:00,218.46,218.56,218.42,218.5,19527.0
2019-09-24 14:45:00+00:00,218.34,218.47,218.33,218.43,32619.0
2019-09-24 15:00:00+00:00,218.58,218.58,218.44,218.55,24449.0
2019-09-24 15:15:00+00:00,217.97,218.07,217.92,218.05,49195.0
2019-09-24 15:30:00+00:00,218.0,218.0,217.82,217.87,50959.0
2019-09-24 15:45:00+00:00,217.68,221.15,217.55,217.83,652582.0
2019-09-25 09:30:00+00:00,218.42,218.63,218.33,218.61,99358.0
2019-09-25 09:45:00+00:00,218.0,218.07,217.76,217.75,56741.0
2019-09-25 10:00:00+00:00,218.98,219.06,218.9,218.99,26048.0
2019-09-25 10:15:00+00:00,219.16,219.17,218.92,218.92,52045.0
2019-09-25 10:30:00+00:00,219.04,219.12,218.99,219.0,28997.0
2019-09-25 10:45:00+00:00,219.49,219.63,219.38,219.6,43122.0
2019-09-25 11:00:00+00:00,220.33,220.35,219.86,219.88,193560.0
2019-09-25 11:15:00+00:00,220.01,220.05,219.95,219.98,37878.0
2019-09-25 11:30:00+00:00,220.26,220.37,220.2,220.31,41730.0
2019-09-25 11:45:00+00:00,220.26,220.27,220.12,220.24,19419.0
2019-09-25 12:00:00+00:00,220.55,220.67,220.56,220.57,39431.0
2019-09-25 12:15:00+00:00,220.69,220.78,220.63,220.65,20262.0
2019-09-25 12:30:00+00:00,220.43,220.46,220.35,220.36,17127.0
