Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2020-08-26,56.225,56.975,55.675,56.425,-0.35,56.325,8980.0,54411.0
2020-08-27,56.275,56.75,56.175,56.55,0.25,56.575,5639.0,54590.0
2020-08-28,56.025,56.175,54.65,55.05,-1.375,55.2,7484.0,54958.0
2020-08-31,54.925,55.85,54.8,55.15,-0.075,55.125,6053.0,54570.0
2020-09-01,55.45,56.05,55.225,55.625,0.65,55.775,11129.0,55878.0
2020-09-02,55.975,56.8,55.45,56.775,0.725,56.5,12153.0,58579.0
2020-09-03,56.925,58.525,56.85,58.25,1.475,57.975,20759.0,60797.0
2020-09-04,58.275,58.8,57.45,58.325,0.275,58.25,15969.0,63257.0
2020-09-08,57.975,58.8,57.575,58.475,0.425,58.675,21455.0,65300.0
2020-09-09,58.6,59.975,58.4,59.775,1.175,59.85,20022.0,69768.0
2020-09-10,60.575,62.85,60.55,62.85,3.0,62.85,21167.0,74123.0
2020-09-11,64.775,66.9,64.625,65.275,3.15,66.0,47537.0,77948.0
2020-09-14,66.95,67.1,63.2,63.225,-2.425,63.575,34209.0,88344.0
2020-09-15,63.575,64.675,62.925,62.975,-0.525,63.05,23582.0,91903.0
2020-09-16,63.25,63.75,61.25,61.725,-1.075,61.975,23128.0,92668.0
2020-09-17,62.5,64.05,62.45,63.75,1.65,63.625,19253.0,93340.0
2020-09-18,64.225,64.5,62.8,63.525,-0.1,63.525,14286.0,94713.0
2020-09-21,63.175,63.5,61.4,61.575,-1.975,61.55,17176.0,94864.0
2020-09-22,62.95,64.55,62.675,64.0,2.55,64.1,17574.0,94873.0
2020-09-23,63.775,64.5,63.275,64.2,0.25,64.35,14009.0,95928.0
2020-09-24,63.775,64.475,63.05,63.05,-1.075,63.275,12996.0,94754.0
2020-09-25,62.45,64.85,62.25,64.35,1.15,64.425,16664.0,94505.0
2020-09-28,64.375,64.45,63.2,64.075,-0.4,64.025,13261.0,94945.0
2020-09-29,64.275,64.3,61.575,61.65,-2.05,61.975,17739.0,95541.0
2020-09-30,62.1,63.55,61.8,63.2,1.125,63.1,14764.0,96097.0
2020-10-01,63.1,63.25,62.125,62.7,-0.25,62.85,13698.0,95562.0
2020-10-02,62.85,63.875,62.225,62.475,-0.35,62.5,14996.0,95385.0
2020-10-05,62.5,62.875,61.9,62.575,0.15,62.65,13014.0,96004.0
2020-10-06,63.225,64.625,63.225,63.8,1.225,63.875,17575.0,96636.0
2020-10-07,63.5,64.8,63.525,64.575,0.7,64.575,18379.0,96089.0
2020-10-08,65.275,67.45,65.225,66.875,2.275,66.85,23115.0,94366.0
2020-10-09,67.05,67.375,66.375,67.1,0.275,67.125,15088.0,93869.0
2020-10-12,67.125,67.325,66.0,66.425,-0.5,66.625,12662.0,92922.0
2020-10-13,66.5,66.6,64.9,66.35,-0.475,66.15,16886.0,91952.0
2020-10-14,66.75,68.675,66.775,68.3,2.275,68.425,19285.0,91152.0
2020-10-15,68.2,69.925,68.025,69.85,1.45,69.875,20882.0,92468.0
2020-10-16,70.3,70.7,68.825,69.85,-0.075,69.8,17466.0,92640.0
2020-10-19,69.725,72.8,69.325,71.45,1.625,71.425,28969.0,91029.0
2020-10-20,70.975,71.05,68.5,69.2,-2.175,69.25,22270.0,91713.0
2020-10-21,69.9,70.825,68.85,69.1,-0.05,69.2,18739.0,91400.0
2020-10-22,69.575,69.8,66.2,66.2,-3.0,66.2,20476.0,90633.0
2020-10-23,66.35,67.225,65.7,67.1,0.825,67.025,14017.0,87617.0
2020-10-26,66.675,67.95,65.3,67.8,0.725,67.75,17561.0,86287.0
2020-10-27,68.175,69.65,67.425,67.65,-0.1,67.65,15895.0,85537.0
2020-10-28,67.0,67.325,65.825,66.325,-1.275,66.375,15141.0,84192.0
2020-10-29,65.8,66.15,64.2,65.75,-0.75,65.625,16811.0,82668.0
2020-10-30,66.45,66.975,65.2,65.325,-0.05,65.575,17225.0,80736.0
2020-11-02,65.725,66.05,64.1,66.05,0.375,65.95,16221.0,80043.0
2020-11-03,66.5,66.8,65.15,65.4,-0.55,65.4,14914.0,79172.0
2020-11-04,65.575,66.45,64.7,66.275,0.95,66.35,12415.0,77585.0
2020-11-05,66.875,67.6,66.425,67.25,1.075,67.425,16342.0,76171.0
2020-11-06,67.0,67.575,64.625,64.875,-2.525,64.9,29337.0,74387.0
2020-11-09,65.8,66.575,65.25,65.575,0.7,65.6,21675.0,68432.0
2020-11-10,66.3,66.3,64.9,65.225,-0.475,65.125,21959.0,61434.0
2020-11-11,65.15,65.775,63.6,65.0,-0.325,64.8,24300.0,51999.0
2020-11-12,65.625,66.575,65.225,67.175,1.0,65.8,23763.0,45312.0
2020-11-13,66.025,66.025,64.175,64.875,-0.9,64.9,17767.0,40234.0
2020-11-16,64.975,65.8,64.6,65.225,0.25,65.15,12457.0,37638.0
2020-11-17,65.15,66.175,64.9,65.5,0.375,65.525,13340.0,35005.0
2020-11-18,64.6,66.0,64.5,65.975,0.275,65.8,6729.0,31889.0
2020-11-19,65.375,65.5,63.5,63.65,-2.1,63.7,9058.0,30301.0
2020-11-20,63.7,64.75,63.5,64.175,0.425,64.125,9672.0,29475.0
2020-11-23,64.75,66.425,64.475,65.2,0.825,64.95,10937.0,27980.0
